Assay_Type_s	AssemblyName_s	BioSample_s	Consent_s	InsertSize_l	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	analyte_type_s	body_site_s	gap_consent_code_s	gap_sample_id_s	gap_subject_id_s	histological_type_s	is_tumor_s	molecular_data_type_s	sex_s	submitted_sample_id_s	submitted_subject_id_s	BioProject_s	BioSampleModel_s	Center_Name_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	gap_accession_s	source_s	study_design_s	study_name_s	submitter_handle_s
RNA-Seq	HG19_Broad_variant	SAMN02465563	GRU	150	Solexa-172420	5922	2717	SRR1098098	SRS526125	GTEX-WEY5-1426-SM-4LMJ3	RNA:Total RNA	Colon - Transverse	1	1109613	706583	Colon	No	RNA Expression (NGS)	female	GTEX-WEY5-1426-SM-4LMJ3	GTEX-WEY5	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465888	GRU	150	Solexa-150636	5774	2583	SRR1098122	SRS526126	GTEX-R55D-1526-SM-48FEJ	RNA:Total RNA	Stomach	1	1109042	678151	Stomach	No	RNA Expression (NGS)	male	GTEX-R55D-1526-SM-48FEJ	GTEX-R55D	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465216	GRU	302	Solexa-167317	5443	2488	SRR1098146	SRS526127	GTEX-UJHI-1026-SM-4IHJP	RNA:Total RNA	Stomach	1	1109493	706570	Stomach	No	RNA Expression (NGS)	female	GTEX-UJHI-1026-SM-4IHJP	GTEX-UJHI	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465595	GRU	302	Solexa-167350	25606	11663	SRR1098169	SRS526128	GTEX-UJMC-1026-SM-4IHKN	RNA:Total RNA	Esophagus - Muscularis	1	1109502	706571	Esophagus	No	RNA Expression (NGS)	male	GTEX-UJMC-1026-SM-4IHKN	GTEX-UJMC	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465662	GRU	150	Solexa-150640	5608	2559	SRR1098192	SRS526129	GTEX-R55D-1426-SM-48FEN	RNA:Total RNA	Pancreas	1	1109041	678151	Pancreas	No	RNA Expression (NGS)	male	GTEX-R55D-1426-SM-48FEN	GTEX-R55D	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465854	GRU	150	Solexa-151252	5724	2573	SRR1098216	SRS526130	GTEX-X585-2426-SM-46MW2	RNA:Total RNA	Skin - Not Sun Exposed (Suprapubic)	1	1109729	721013	Skin	No	RNA Expression (NGS)	male	GTEX-X585-2426-SM-46MW2	GTEX-X585	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465477	GRU	150	Solexa-157680	4998	2294	SRR1098240	SRS526131	GTEX-XUZC-2026-SM-4BRW9	RNA:Total RNA	Artery - Tibial	1	1110104	847771	Blood Vessel	No	RNA Expression (NGS)	female	GTEX-XUZC-2026-SM-4BRW9	GTEX-XUZC	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465419	GRU	150	Solexa-157661	5702	2653	SRR1098264	SRS526132	GTEX-XUZC-1626-SM-4BRVP	RNA:Total RNA	Breast - Mammary Tissue	1	1110101	847771	Breast	No	RNA Expression (NGS)	female	GTEX-XUZC-1626-SM-4BRVP	GTEX-XUZC	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465611	GRU	150	Solexa-151258	4536	2005	SRR1098288	SRS526133	GTEX-X62O-0826-SM-46MW8	RNA:Total RNA	Heart - Atrial Appendage	1	1109758	721015	Heart	No	RNA Expression (NGS)	male	GTEX-X62O-0826-SM-46MW8	GTEX-X62O	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465315	GRU	150	Solexa-151008	5885	2449	SRR1098312	SRS526134	GTEX-PSDG-0826-SM-48TCZ	RNA:Total RNA	Artery - Coronary	1	1108819	590955	Blood Vessel	No	RNA Expression (NGS)	male	GTEX-PSDG-0826-SM-48TCZ	GTEX-PSDG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465353	GRU	150	Solexa-151277	4653	1900	SRR1098336	SRS526135	GTEX-X4XX-0011-R7A-SM-46MWR	RNA:Total RNA	Brain - Putamen (basal ganglia)	1	1109696	721011	Brain	No	RNA Expression (NGS)	male	GTEX-X4XX-0011-R7A-SM-46MWR	GTEX-X4XX	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02464900	GRU	150	Solexa-159480	4781	2172	SRR1098361	SRS526136	GTEX-T5JW-0926-SM-4DM5K	RNA:Total RNA	Stomach	1	1109344	706552	Stomach	No	RNA Expression (NGS)	female	GTEX-T5JW-0926-SM-4DM5K	GTEX-T5JW	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465011	GRU	150	Solexa-159856	4506	2089	SRR1098385	SRS526137	GTEX-TKQ1-1326-SM-4DXU7	RNA:Total RNA	Nerve - Tibial	1	1109382	706556	Nerve	No	RNA Expression (NGS)	male	GTEX-TKQ1-1326-SM-4DXU7	GTEX-TKQ1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465072	GRU	150	Solexa-155357	4725	2137	SRR1098405	SRS526139	GTEX-XGQ4-0626-SM-4AT56	RNA:Total RNA	Artery - Coronary	1	1109852	847756	Blood Vessel	No	RNA Expression (NGS)	male	GTEX-XGQ4-0626-SM-4AT56	GTEX-XGQ4	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465568	GRU	150	Solexa-159525	5020	2177	SRR1098426	SRS526138	GTEX-T5JC-1726-SM-4DM6U	RNA:Total RNA	Esophagus - Mucosa	1	1109334	706551	Esophagus	No	RNA Expression (NGS)	male	GTEX-T5JC-1726-SM-4DM6U	GTEX-T5JC	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465125	GRU	150	Solexa-150592	5072	2263	SRR1098450	SRS526140	GTEX-REY6-0926-SM-48FDA	RNA:Total RNA	Artery - Coronary	1	1109066	678153	Blood Vessel	No	RNA Expression (NGS)	male	GTEX-REY6-0926-SM-48FDA	GTEX-REY6	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465555	GRU	150	Solexa-155354	5179	2310	SRR1098474	SRS526141	GTEX-XGQ4-2326-SM-4AT53	RNA:Total RNA	Muscle - Skeletal	1	1109863	847756	Muscle	No	RNA Expression (NGS)	male	GTEX-XGQ4-2326-SM-4AT53	GTEX-XGQ4	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465652	GRU	150	Solexa-150621	6048	2826	SRR1098495	SRS526142	GTEX-QXCU-1926-SM-48FE4	RNA:Total RNA	Stomach	1	1109010	590978	Stomach	No	RNA Expression (NGS)	male	GTEX-QXCU-1926-SM-48FE4	GTEX-QXCU	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465566	GRU	150	Solexa-151215	5502	2466	SRR1098519	SRS526143	GTEX-X585-0011-R11B-SM-46MUZ	RNA:Total RNA	Brain - Cerebellar Hemisphere	1	1109717	721013	Brain	No	RNA Expression (NGS)	male	GTEX-X585-0011-R11B-SM-46MUZ	GTEX-X585	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465481	GRU	150	Solexa-157707	6088	2887	SRR1098543	SRS526144	GTEX-SIU7-0926-SM-4BRX1	RNA:Total RNA	Pancreas	1	1109271	678176	Pancreas	No	RNA Expression (NGS)	male	GTEX-SIU7-0926-SM-4BRX1	GTEX-SIU7	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02466010	GRU	150	Solexa-155331	5319	2392	SRR1098567	SRS526145	GTEX-XBED-1326-SM-4AT4F	RNA:Total RNA	Adipose - Visceral (Omentum)	1	1109824	721018	Adipose Tissue	No	RNA Expression (NGS)	male	GTEX-XBED-1326-SM-4AT4F	GTEX-XBED	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02466015	GRU	150	Solexa-154202	5594	2481	SRR1098588	SRS526146	GTEX-S4Q7-0726-SM-4AD5F	RNA:Total RNA	Stomach	1	1109213	678169	Stomach	No	RNA Expression (NGS)	male	GTEX-S4Q7-0726-SM-4AD5F	GTEX-S4Q7	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02464714	GRU	150	Solexa-154259	4372	1891	SRR1098612	SRS526147	GTEX-S341-1326-SM-4AD72	RNA:Total RNA	Cervix - Endocervix	1	1109185	678166	Cervix Uteri	No	RNA Expression (NGS)	female	GTEX-S341-1326-SM-4AD72	GTEX-S341	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02464973	GRU	150	Solexa-151268	4910	2179	SRR1098636	SRS526148	K-562-SM-46MWI	RNA:Total RNA	Cells - Leukemia cell line (CML)	1	1110182	590982	Bone Marrow	Yes	RNA Expression (NGS)	female	K-562-SM-46MWI	K-562	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465088	GRU	150	Solexa-172676	4936	2163	SRR1098660	SRS526149	GTEX-WFON-1426-SM-4LVMT	RNA:Total RNA	Colon - Transverse	1	1109653	706587	Colon	No	RNA Expression (NGS)	male	GTEX-WFON-1426-SM-4LVMT	GTEX-WFON	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02466124	GRU	150	Solexa-172611	4397	1938	SRR1098686	SRS526150	GTEX-WH7G-1726-SM-4LVKY	RNA:Total RNA	Prostate	1	1109667	720986	Prostate	No	RNA Expression (NGS)	male	GTEX-WH7G-1726-SM-4LVKY	GTEX-WH7G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02466056	GRU	150	Solexa-156080	6705	3125	SRR1098712	SRS526152	GTEX-XMK1-0926-SM-4B66X	RNA:Total RNA	Adipose - Visceral (Omentum)	1	1109918	847761	Adipose Tissue	No	RNA Expression (NGS)	male	GTEX-XMK1-0926-SM-4B66X	GTEX-XMK1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02464963	GRU	150	Solexa-151308	5063	2129	SRR1098737	SRS526151	GTEX-Q2AG-1126-SM-48U1P	RNA:Total RNA	Liver	1	1108882	590962	Liver	No	RNA Expression (NGS)	female	GTEX-Q2AG-1126-SM-48U1P	GTEX-Q2AG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465268	GRU	150	Solexa-151310	5876	2417	SRR1098761	SRS526153	GTEX-QDVJ-0008-SM-48U2E	RNA:Total RNA	Cells - Transformed fibroblasts	1	1108935	590967	Skin	No	RNA Expression (NGS)	male	GTEX-QDVJ-0008-SM-48U2E	GTEX-QDVJ	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465392	GRU	400	Solexa-150830	4833	2206	SRR1098785	SRS526154	GTEX-XBED-0826-SM-47JYC	RNA:Total RNA	Lung	1	1109819	721018	Lung	No	RNA Expression (NGS)	male	GTEX-XBED-0826-SM-47JYC	GTEX-XBED	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465959	GRU	150	Solexa-172392	5072	2326	SRR1098807	SRS526155	GTEX-WEY5-0626-SM-4LMIA	RNA:Total RNA	Ovary	1	1109606	706583	Ovary	No	RNA Expression (NGS)	female	GTEX-WEY5-0626-SM-4LMIA	GTEX-WEY5	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02466130	GRU	150	Solexa-151000	4449	1864	SRR1098831	SRS526156	GTEX-PWCY-0826-SM-48TCR	RNA:Total RNA	Esophagus - Muscularis	1	1108839	590957	Esophagus	No	RNA Expression (NGS)	female	GTEX-PWCY-0826-SM-48TCR	GTEX-PWCY	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465393	GRU	150	Solexa-150576	5737	2709	SRR1098855	SRS526157	GTEX-R53T-1226-SM-48FCT	RNA:Total RNA	Stomach	1	1109024	678149	Stomach	No	RNA Expression (NGS)	female	GTEX-R53T-1226-SM-48FCT	GTEX-R53T	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465691	GRU	150	Solexa-159484	4525	1981	SRR1098879	SRS526158	GTEX-T2YK-0226-SM-4DM5O	RNA:Total RNA	Muscle - Skeletal	1	1109325	706550	Muscle	No	RNA Expression (NGS)	male	GTEX-T2YK-0226-SM-4DM5O	GTEX-T2YK	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465938	GRU	150	Solexa-156070	6250	2928	SRR1098903	SRS526159	GTEX-XOTO-0126-SM-4B66N	RNA:Total RNA	Skin - Sun Exposed (Lower leg)	1	1109950	847763	Skin	No	RNA Expression (NGS)	male	GTEX-XOTO-0126-SM-4B66N	GTEX-XOTO	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02466072	GRU	150	Solexa-169442	7090	3316	SRR1098928	SRS526160	GTEX-V1D1-0726-SM-4JBH7	RNA:Total RNA	Pancreas	1	1109536	706576	Pancreas	No	RNA Expression (NGS)	male	GTEX-V1D1-0726-SM-4JBH7	GTEX-V1D1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465939	GRU	400	Solexa-150852	6090	2781	SRR1098952	SRS526161	GTEX-X638-0003-SM-47JZ1	RNA:Total RNA	Cells - EBV-transformed lymphocytes	1	1109761	847752	Blood	No	RNA Expression (NGS)	female	GTEX-X638-0003-SM-47JZ1	GTEX-X638	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02464986	GRU	150	Solexa-169449	6431	2964	SRR1098974	SRS526162	GTEX-V1D1-1026-SM-4JBHE	RNA:Total RNA	Esophagus - Mucosa	1	1109538	706576	Esophagus	No	RNA Expression (NGS)	male	GTEX-V1D1-1026-SM-4JBHE	GTEX-V1D1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465942	GRU	150	Solexa-156046	5839	2715	SRR1098998	SRS526163	GTEX-XOT4-1426-SM-4B65T	RNA:Total RNA	Lung	1	1109939	847762	Lung	No	RNA Expression (NGS)	female	GTEX-XOT4-1426-SM-4B65T	GTEX-XOT4	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465967	GRU	150	Solexa-163934	7443	3697	SRR1099023	SRS526164	GTEX-X261-0011-R7A-SM-4E3JJ	RNA:Total RNA	Brain - Putamen (basal ganglia)	1	1109685	721006	Brain	No	RNA Expression (NGS)	male	GTEX-X261-0011-R7A-SM-4E3JJ	GTEX-X261	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465520	GRU	150	Solexa-150645	6168	2770	SRR1099072	SRS526166	GTEX-R55D-0326-SM-48FES	RNA:Total RNA	Adipose - Subcutaneous	1	1109037	678151	Adipose Tissue	No	RNA Expression (NGS)	male	GTEX-R55D-0326-SM-48FES	GTEX-R55D	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02464785	GRU	150	Solexa-172390	5613	2588	SRR1099096	SRS526167	GTEX-W5X1-2626-SM-4LMI8	RNA:Total RNA	Adipose - Subcutaneous	1	1109601	706582	Adipose Tissue	No	RNA Expression (NGS)	female	GTEX-W5X1-2626-SM-4LMI8	GTEX-W5X1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465298	GRU	150	Solexa-171586	5300	2517	SRR1099120	SRS526168	GTEX-W5WG-0008-SM-4KL25	RNA:Total RNA	Cells - Transformed fibroblasts	1	1109586	706581	Skin	No	RNA Expression (NGS)	female	GTEX-W5WG-0008-SM-4KL25	GTEX-W5WG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465087	GRU	150	Solexa-150982	4853	2009	SRR1099144	SRS526169	GTEX-PVOW-1626-SM-48TC9	RNA:Total RNA	Esophagus - Mucosa	1	1108826	678142	Esophagus	No	RNA Expression (NGS)	male	GTEX-PVOW-1626-SM-48TC9	GTEX-PVOW	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465399	GRU	150	Solexa-155371	5004	2275	SRR1099168	SRS526170	GTEX-XMD1-0011-R6A-SM-4AT5K	RNA:Total RNA	Brain - Nucleus accumbens (basal ganglia)	1	1109901	847759	Brain	No	RNA Expression (NGS)	male	GTEX-XMD1-0011-R6A-SM-4AT5K	GTEX-XMD1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465721	GRU	302	Solexa-167324	6717	3081	SRR1099189	SRS526171	GTEX-UPJH-0726-SM-4IHJW	RNA:Total RNA	Artery - Tibial	1	1109518	706573	Blood Vessel	No	RNA Expression (NGS)	male	GTEX-UPJH-0726-SM-4IHJW	GTEX-UPJH	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465480	GRU	150	Solexa-151184	4255	1850	SRR1099212	SRS526172	GTEX-X5EB-0008-SM-46MU3	RNA:Total RNA	Cells - Transformed fibroblasts	1	1109733	721014	Skin	No	RNA Expression (NGS)	male	GTEX-X5EB-0008-SM-46MU3	GTEX-X5EB	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02464905	GRU	150	Solexa-159519	4685	2034	SRR1099236	SRS526173	GTEX-T2IS-0126-SM-4DM6O	RNA:Total RNA	Skin - Sun Exposed (Lower leg)	1	1109317	706549	Skin	No	RNA Expression (NGS)	female	GTEX-T2IS-0126-SM-4DM6O	GTEX-T2IS	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465352	GRU	150	Solexa-156783	4516	1987	SRR1099260	SRS526174	GTEX-XUZC-0005-SM-4BOQ8	RNA:Total RNA	Whole Blood	1	1110085	847771	Blood	No	RNA Expression (NGS)	female	GTEX-XUZC-0005-SM-4BOQ8	GTEX-XUZC	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02464818	GRU	150	Solexa-150968	4206	1754	SRR1099286	SRS526175	GTEX-P44H-1126-SM-48TBU	RNA:Total RNA	Lung	1	1108799	678140	Lung	No	RNA Expression (NGS)	male	GTEX-P44H-1126-SM-48TBU	GTEX-P44H	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02465168	GRU	150	Solexa-159826	5596	2609	SRR1099310	SRS526176	GTEX-U3ZN-1026-SM-4DXTC	RNA:Total RNA	Ovary	1	1109449	706565	Ovary	No	RNA Expression (NGS)	female	GTEX-U3ZN-1026-SM-4DXTC	GTEX-U3ZN	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465345	GRU	150	Solexa-157663	6175	2854	SRR1099330	SRS526177	GTEX-XV7Q-1026-SM-4BRVR	RNA:Total RNA	Esophagus - Muscularis	1	1110117	847772	Esophagus	No	RNA Expression (NGS)	female	GTEX-XV7Q-1026-SM-4BRVR	GTEX-XV7Q	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02464990	GRU	150	Solexa-151323	5019	2107	SRR1099354	SRS526178	GTEX-Q2AI-0926-SM-48U1F	RNA:Total RNA	Colon - Transverse	1	1108902	590964	Colon	No	RNA Expression (NGS)	male	GTEX-Q2AI-0926-SM-48U1F	GTEX-Q2AI	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN02465885	GRU	150	Solexa-151315	5588	2302	SRR1099378	SRS526179	GTEX-Q734-0126-SM-48U1E	RNA:Total RNA	Adrenal Gland	1	1108906	590965	Adrenal Gland	No	RNA Expression (NGS)	female	GTEX-Q734-0126-SM-48U1E	GTEX-Q734	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	GRCh37	SAMN02466098	GRU	150	Solexa-156034	7378	3437	SRR1099402	SRS526180	GTEX-XMK1-1026-SM-4B65H	RNA:Total RNA	Prostate	1	1109919	847761	Prostate	No	RNA Expression (NGS)	male	GTEX-XMK1-1026-SM-4B65H	GTEX-XMK1	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
